id,name,price,rating_average,category,solds,cluster
19,Điện thoại Iphone 7 Plus,17008007,1,Điện thoại cảm ứng,4,78
21,Máy nghe nhạc,1998888,1,Điện thoại,13,2
22,Chai nước,13000,1,Chai nước,2,109
24,Máy đọc sách All New Kindle Oasis 3 - Hàng nhập khẩu,6900000,1,Máy đọc sách,1,84
25,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,4100000,1,Điện Thoại - Máy Tính Bảng,1,94
26,Combo Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - 16Gb và Bao da - Hàng nhập khẩu,3990000,1,Máy đọc sách,1,84
27,Apple iPhone 13,13490000,1,Điện thoại Smartphone,1,60
28,"Apple iPad 10.2-inch (9th Gen) Wi-Fi, 2021",6990000,1,Điện Thoại - Máy Tính Bảng,1,22
29,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1690000,1,Điện thoại Smartphone,1,143
30,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3690000,1,Máy đọc sách,1,34
31,Máy đọc sách All New Kindle Paperwhite 5 (11th Gen) - Hàng nhập khẩu,3690000,1,Máy đọc sách,1,34
32,Máy đọc sách Kindle Scribe - Hàng chính hãng,12090000,1,Máy đọc sách,1,84
33,Máy tính bảng Kindle Fire HD10 2023 13th - 32Gb - Hàng chính hãng,3390000,1,Máy tính bảng,1,17
34,Điện Thoại Nokia C30 (2GB/32GB) - Hàng Chính Hãng,1490000,1,Điện thoại Smartphone,1,143
35,Apple iPhone 12,11490000,1,Điện thoại Smartphone,1,56
36,Combo máy đọc sách Kindle Paperwhite 5 (11th gen) tặng kèm bao da ( Cover ) - Hàng nhập khẩu,4100000,1,Điện Thoại - Máy Tính Bảng,1,94
37,Điện Thoại Bàn Panasonic KX-TSC11 - Hàng Chính Hãng,620000,1,Điện Thoại - Máy Tính Bảng,1,148
38,Máy Tính Bảng Samsung Galaxy Tab A7 Lite T225 3GB/32GB - Hàng Chính Hãng,3139000,1,Máy tính bảng,1,17
39,Điện thoại bàn Panasonic KX-TS880 hàng chính hãng,1050000,1,Điện Thoại - Máy Tính Bảng,1,148
40,Máy đọc sách Kobo Libra 2 - hàng nhập khẩu,5250000,1,Máy đọc sách,1,84
41,Điện Thoại Xiaomi Redmi 10 4GB/128GB - Hàng Chính Hãng,2849000,1,Điện thoại Smartphone,1,101
42,"Máy đọc sách Kindle Paperwhite Gen 4 10th màn hình 6 inch 300PPI, wifi, bluetooth, chống nước IPX8 - Hàng nhập khẩu",3150000,1,Máy đọc sách,1,34
43,Điện thoại Masstel Lux 20 4G - Sang trọng - Gọi HD Call - Hàng chính hãng,579000,1,Điện thoại phổ thông,1,29
44,Điện thoại Xiaomi Redmi 10A (2GB/32GB) - Hàng chính hãng,1949000,1,Điện thoại Smartphone,1,142
45,Điện thoại Masstel Lux 10 4G - Sang trọng - Gọi HD Call - Hàng chính hãng,549000,1,Điện thoại phổ thông,1,29
46,Điện Thoại Cố Định Panasonic KX-TS580MX - Hàng chính hãng,940000,1,Điện thoại bàn,1,122
47,Điện thoại Nokia C30 2GB/32GB - Hàng chính hãng,1550000,1,Điện thoại Smartphone,1,143
48,Điện thoại Nokia C20 (2GB/16GB) - Hàng Chính Hãng,1289000,1,Điện thoại Smartphone,1,126
49,Máy đọc sách Kobo Clara 2e - Hàng Chính Hãng,4290000,1,Điện Thoại - Máy Tính Bảng,1,94
50,Điện thoại bàn Ktel 645 hàng chính hãng,430000,1,Điện thoại bàn,1,122
51,"Máy tính bảng Fire HD10 2021 - 11th - (All New Fire HD10 - 2021) - Ram 3/4GB, bộ nhớ 32GB, màn hình 1080 FullHD",4399000,1,Máy tính bảng,1,17
52,Máy tính bảng Kindle File HD 8 (10th generation - 2020) Hàng nhập khẩu,2500000,1,Máy tính bảng,1,17
53,Điện thoại Xiaomi Redmi 9A (2GB/32GB) - Hàng chính hãng,1790000,1,Điện thoại Smartphone,1,143
54,Điện thoại Nokia 105 4G - Hàng chính hãng,675000,1,Điện thoại phổ thông,1,29
55,Điện thoại Itel it9010 4G - Hàng chính hãng,399000,1,Điện thoại phổ thông,1,29
56,"Ulefone Armor X 5 ( chống nước,chống va đập,pin 5.000mAh ) hàng chính hãng",3590000,1,Điện thoại Smartphone,1,3
